"Step","base policy - steps_to_solve","base policy - steps_to_solve__MIN","base policy - steps_to_solve__MAX","Approx Sig Sequential - steps_to_solve","Approx Sig Sequential - steps_to_solve__MIN","Approx Sig Sequential - steps_to_solve__MAX","Rand Sig Sequential - steps_to_solve","Rand Sig Sequential - steps_to_solve__MIN","Rand Sig Sequential - steps_to_solve__MAX","Sequential - steps_to_solve","Sequential - steps_to_solve__MIN","Sequential - steps_to_solve__MAX"
"0","12","12","12","7","7","7","7","7","7","5","5","5"
"1","6","6","6","5","5","5","6","6","6","4","4","4"
"2","5","5","5","4","4","4","5","5","5","4","4","4"
"3","47","47","47","24","24","24","15","15","15","10","10","10"
"4","12","12","12","10","10","10","8","8","8","7","7","7"
"5","6","6","6","13","13","13","22","22","22","18","18","18"
"6","15","15","15","15","15","15","14","14","14","14","14","14"
"7","11","11","11","25","25","25","11","11","11","10","10","10"
"8","12","12","12","5","5","5","4","4","4","2","2","2"
"9","10","10","10","17","17","17","16","16","16","6","6","6"
"10","20","20","20","6","6","6","7","7","7","7","7","7"
"11","13","13","13","8","8","8","21","21","21","10","10","10"
"12","10","10","10","20","20","20","10","10","10","18","18","18"
"13","12","12","12","13","13","13","17","17","17","9","9","9"
"14","19","19","19","7","7","7","9","9","9","9","9","9"
"15","8","8","8","22","22","22","31","31","31","34","34","34"
"16","16","16","16","12","12","12","13","13","13","4","4","4"
"17","50","50","50","9","9","9","6","6","6","5","5","5"
"18","11","11","11","13","13","13","12","12","12","8","8","8"
"19","9","9","9","6","6","6","24","24","24","10","10","10"
"20","4","4","4","12","12","12","24","24","24","28","28","28"
"21","24","24","24","10","10","10","8","8","8","5","5","5"
"22","16","16","16","7","7","7","9","9","9","9","9","9"
"23","14","14","14","10","10","10","12","12","12","16","16","16"
"24","13","13","13","29","29","29","18","18","18","14","14","14"
"25","10","10","10","14","14","14","20","20","20","15","15","15"
"26","17","17","17","9","9","9","15","15","15","14","14","14"
"27","13","13","13","7","7","7","7","7","7","8","8","8"
"28","12","12","12","14","14","14","18","18","18","17","17","17"
"29","71","71","71","8","8","8","7","7","7","12","12","12"
"30","5","5","5","16","16","16","14","14","14","14","14","14"
"31","59","59","59","4","4","4","4","4","4","4","4","4"
"32","4","4","4","25","25","25","26","26","26","11","11","11"
"33","15","15","15","16","16","16","30","30","30","15","15","15"
"34","7","7","7","3","3","3","3","3","3","3","3","3"
