Prediction Accuracy = 22.294%, Running Loss = 60.11344207763672
Prediction Accuracy = 22.234%, Running Loss = 54.08670928955078
Prediction Accuracy = 22.103999999999996%, Running Loss = 45.624842681884765
Prediction Accuracy = 22.214000000000002%, Running Loss = 34.81708656311035
Prediction Accuracy = 22.285999999999998%, Running Loss = 23.905589828491213
Prediction Accuracy = 22.292%, Running Loss = 15.743070259094239
Prediction Accuracy = 22.296%, Running Loss = 11.534730491638184
Prediction Accuracy = 22.296000000000003%, Running Loss = 10.097353668212891
Prediction Accuracy = 22.31%, Running Loss = 9.691553649902344
Prediction Accuracy = 23.022000000000002%, Running Loss = 9.516324081420898
Prediction Accuracy = 24.671999999999997%, Running Loss = 9.388104934692382
Prediction Accuracy = 25.934%, Running Loss = 9.27141887664795
Prediction Accuracy = 26.594000000000005%, Running Loss = 9.15565990447998
Prediction Accuracy = 26.941999999999997%, Running Loss = 9.038496894836426
Prediction Accuracy = 27.116%, Running Loss = 8.918469390869141
Prediction Accuracy = 27.16%, Running Loss = 8.796451225280762
Prediction Accuracy = 27.233999999999995%, Running Loss = 8.671955871582032
Prediction Accuracy = 27.19%, Running Loss = 8.545527534484863
Prediction Accuracy = 27.216000000000005%, Running Loss = 8.417314453125
Prediction Accuracy = 27.253999999999998%, Running Loss = 8.287270793914795
Prediction Accuracy = 27.278%, Running Loss = 8.156224250793457
Prediction Accuracy = 27.33%, Running Loss = 8.023144493103027
Prediction Accuracy = 27.32%, Running Loss = 7.890400505065918
Prediction Accuracy = 27.39%, Running Loss = 7.7559589004516605
Prediction Accuracy = 27.42%, Running Loss = 7.62200668334961
Prediction Accuracy = 27.462%, Running Loss = 7.4881096458435055
Prediction Accuracy = 27.494%, Running Loss = 7.354542331695557
Prediction Accuracy = 27.53%, Running Loss = 7.222636947631836
Prediction Accuracy = 27.482000000000003%, Running Loss = 7.092970809936523
Prediction Accuracy = 27.623999999999995%, Running Loss = 6.965801105499268
Prediction Accuracy = 27.676000000000002%, Running Loss = 6.841996173858643
Prediction Accuracy = 27.686%, Running Loss = 6.723744163513183
Prediction Accuracy = 27.77%, Running Loss = 6.609765625
Prediction Accuracy = 27.747999999999998%, Running Loss = 6.503283767700196
Prediction Accuracy = 27.858%, Running Loss = 6.403739490509033
Prediction Accuracy = 27.946000000000005%, Running Loss = 6.312362022399903
Prediction Accuracy = 28.067999999999998%, Running Loss = 6.229134483337402
Prediction Accuracy = 28.182%, Running Loss = 6.155152626037598
Prediction Accuracy = 28.302000000000003%, Running Loss = 6.089967250823975
Prediction Accuracy = 28.5%, Running Loss = 6.033153667449951
Prediction Accuracy = 28.794%, Running Loss = 5.984540882110596
Prediction Accuracy = 29.055999999999997%, Running Loss = 5.94365270614624
Prediction Accuracy = 29.182000000000002%, Running Loss = 5.909731044769287
Prediction Accuracy = 29.452%, Running Loss = 5.880516376495361
Prediction Accuracy = 29.796%, Running Loss = 5.857044715881347
Prediction Accuracy = 30.022000000000002%, Running Loss = 5.8376544570922855
Prediction Accuracy = 30.355999999999998%, Running Loss = 5.82166202545166
Prediction Accuracy = 30.606000000000005%, Running Loss = 5.808691368103028
Prediction Accuracy = 30.768%, Running Loss = 5.797603034973145
Prediction Accuracy = 31.07%, Running Loss = 5.788273792266846
