Prediction Accuracy = 22.442%, Running Loss = 62.06741485595703
Prediction Accuracy = 24.558%, Running Loss = 59.9791805267334
Prediction Accuracy = 26.148000000000003%, Running Loss = 57.74461059570312
Prediction Accuracy = 25.95%, Running Loss = 55.20631484985351
Prediction Accuracy = 24.65%, Running Loss = 52.227406692504886
Prediction Accuracy = 23.69%, Running Loss = 48.717628479003906
Prediction Accuracy = 23.288%, Running Loss = 44.69779014587402
Prediction Accuracy = 22.976%, Running Loss = 40.239926147460935
Prediction Accuracy = 22.894%, Running Loss = 35.50608177185059
Prediction Accuracy = 22.878%, Running Loss = 30.705248832702637
Prediction Accuracy = 22.880000000000003%, Running Loss = 26.057973098754882
Prediction Accuracy = 22.875999999999998%, Running Loss = 21.79889545440674
Prediction Accuracy = 22.874%, Running Loss = 18.13894901275635
Prediction Accuracy = 22.874000000000002%, Running Loss = 15.181839179992675
Prediction Accuracy = 22.874000000000002%, Running Loss = 12.983370113372803
Prediction Accuracy = 22.874%, Running Loss = 11.47522430419922
Prediction Accuracy = 22.874%, Running Loss = 10.534667682647704
Prediction Accuracy = 22.880000000000003%, Running Loss = 10.000046634674073
Prediction Accuracy = 22.868%, Running Loss = 9.721398067474365
Prediction Accuracy = 22.851999999999997%, Running Loss = 9.568949031829835
Prediction Accuracy = 22.982%, Running Loss = 9.485194683074951
Prediction Accuracy = 23.312%, Running Loss = 9.42552137374878
Prediction Accuracy = 24.5%, Running Loss = 9.37443733215332
Prediction Accuracy = 25.890000000000004%, Running Loss = 9.326456451416016
Prediction Accuracy = 27.381999999999998%, Running Loss = 9.279559516906739
Prediction Accuracy = 28.626000000000005%, Running Loss = 9.233043670654297
Prediction Accuracy = 29.165999999999997%, Running Loss = 9.186919784545898
Prediction Accuracy = 29.419999999999998%, Running Loss = 9.14074125289917
Prediction Accuracy = 29.458%, Running Loss = 9.094177436828613
Prediction Accuracy = 29.364000000000004%, Running Loss = 9.04740505218506
Prediction Accuracy = 29.444%, Running Loss = 9.000213050842286
Prediction Accuracy = 29.451999999999998%, Running Loss = 8.952573299407959
Prediction Accuracy = 29.434000000000005%, Running Loss = 8.904854011535644
Prediction Accuracy = 29.451999999999998%, Running Loss = 8.856345462799073
Prediction Accuracy = 29.503999999999998%, Running Loss = 8.807793998718262
Prediction Accuracy = 29.508%, Running Loss = 8.758942604064941
Prediction Accuracy = 29.514%, Running Loss = 8.709606742858886
Prediction Accuracy = 29.546000000000003%, Running Loss = 8.659905910491943
Prediction Accuracy = 29.558%, Running Loss = 8.610188293457032
Prediction Accuracy = 29.565999999999995%, Running Loss = 8.560156631469727
Prediction Accuracy = 29.592000000000002%, Running Loss = 8.50949592590332
Prediction Accuracy = 29.642000000000003%, Running Loss = 8.459110069274903
Prediction Accuracy = 29.656000000000006%, Running Loss = 8.408204078674316
Prediction Accuracy = 29.698%, Running Loss = 8.357173109054566
Prediction Accuracy = 29.734%, Running Loss = 8.305936336517334
Prediction Accuracy = 29.742%, Running Loss = 8.254730319976806
Prediction Accuracy = 29.728%, Running Loss = 8.203061389923096
Prediction Accuracy = 29.73%, Running Loss = 8.15175724029541
Prediction Accuracy = 29.744%, Running Loss = 8.099728631973267
Prediction Accuracy = 29.767999999999994%, Running Loss = 8.048219966888428
Prediction Accuracy = 29.784000000000002%, Running Loss = 7.996191024780273
Prediction Accuracy = 29.816000000000003%, Running Loss = 7.9441851615905765
Prediction Accuracy = 29.814%, Running Loss = 7.8923650741577145
Prediction Accuracy = 29.818000000000005%, Running Loss = 7.84041109085083
Prediction Accuracy = 29.818%, Running Loss = 7.788630390167237
Prediction Accuracy = 29.839999999999996%, Running Loss = 7.736947107315063
Prediction Accuracy = 29.836000000000002%, Running Loss = 7.685053062438965
Prediction Accuracy = 29.847999999999995%, Running Loss = 7.633349132537842
Prediction Accuracy = 29.881999999999998%, Running Loss = 7.582084274291992
Prediction Accuracy = 29.939999999999998%, Running Loss = 7.530543088912964
Prediction Accuracy = 29.940000000000005%, Running Loss = 7.479673385620117
