Prediction Accuracy = 22.802%, Running Loss = 61.964486312866214
Prediction Accuracy = 23.066%, Running Loss = 59.941849899291995
Prediction Accuracy = 23.094%, Running Loss = 57.63972702026367
Prediction Accuracy = 23.09%, Running Loss = 54.89664878845215
Prediction Accuracy = 23.094%, Running Loss = 51.612784957885744
Prediction Accuracy = 23.088%, Running Loss = 47.767124557495116
Prediction Accuracy = 23.08%, Running Loss = 43.439552307128906
Prediction Accuracy = 23.077999999999996%, Running Loss = 38.743403625488284
Prediction Accuracy = 23.076%, Running Loss = 33.88100757598877
Prediction Accuracy = 23.076%, Running Loss = 29.070176696777345
Prediction Accuracy = 23.076%, Running Loss = 24.53983268737793
Prediction Accuracy = 23.076%, Running Loss = 20.499850463867187
Prediction Accuracy = 23.076%, Running Loss = 17.119184589385988
Prediction Accuracy = 23.076%, Running Loss = 14.471336936950683
Prediction Accuracy = 23.076%, Running Loss = 12.556708526611327
Prediction Accuracy = 23.076%, Running Loss = 11.271883964538574
Prediction Accuracy = 23.076%, Running Loss = 10.493877601623534
Prediction Accuracy = 23.076%, Running Loss = 10.04869213104248
Prediction Accuracy = 23.080000000000002%, Running Loss = 9.807848644256591
Prediction Accuracy = 23.1%, Running Loss = 9.674304676055907
Prediction Accuracy = 23.158%, Running Loss = 9.589809989929199
Prediction Accuracy = 23.268%, Running Loss = 9.525549983978271
Prediction Accuracy = 23.4%, Running Loss = 9.470098876953125
Prediction Accuracy = 23.699999999999996%, Running Loss = 9.417784023284913
Prediction Accuracy = 24.002%, Running Loss = 9.367667770385742
Prediction Accuracy = 24.294%, Running Loss = 9.31874876022339
Prediction Accuracy = 24.964%, Running Loss = 9.270270156860352
Prediction Accuracy = 25.651999999999997%, Running Loss = 9.222187709808349
Prediction Accuracy = 26.151999999999997%, Running Loss = 9.173861408233643
Prediction Accuracy = 26.488%, Running Loss = 9.125359725952148
Prediction Accuracy = 26.814%, Running Loss = 9.076937770843506
Prediction Accuracy = 26.926%, Running Loss = 9.02804708480835
Prediction Accuracy = 27.071999999999996%, Running Loss = 8.978950119018554
Prediction Accuracy = 27.076%, Running Loss = 8.9296217918396
Prediction Accuracy = 27.068%, Running Loss = 8.879853630065918
Prediction Accuracy = 27.055999999999994%, Running Loss = 8.830057430267335
Prediction Accuracy = 27.101999999999997%, Running Loss = 8.779915714263916
Prediction Accuracy = 27.127999999999997%, Running Loss = 8.72960958480835
Prediction Accuracy = 27.165999999999997%, Running Loss = 8.679279136657716
Prediction Accuracy = 27.218%, Running Loss = 8.628538608551025
Prediction Accuracy = 27.284%, Running Loss = 8.57782735824585
Prediction Accuracy = 27.338%, Running Loss = 8.52677125930786
Prediction Accuracy = 27.374000000000002%, Running Loss = 8.475846481323241
Prediction Accuracy = 27.406%, Running Loss = 8.424856662750244
Prediction Accuracy = 27.438%, Running Loss = 8.373779582977296
Prediction Accuracy = 27.439999999999998%, Running Loss = 8.32248067855835
Prediction Accuracy = 27.453999999999997%, Running Loss = 8.271166515350341
Prediction Accuracy = 27.494%, Running Loss = 8.220046043395996
Prediction Accuracy = 27.508000000000003%, Running Loss = 8.168841123580933
Prediction Accuracy = 27.504%, Running Loss = 8.117645502090454
Prediction Accuracy = 27.526%, Running Loss = 8.066511344909667
Prediction Accuracy = 27.53%, Running Loss = 8.01537857055664
Prediction Accuracy = 27.522000000000002%, Running Loss = 7.9644781112670895
Prediction Accuracy = 27.54%, Running Loss = 7.913719511032104
Prediction Accuracy = 27.560000000000002%, Running Loss = 7.862858438491822
Prediction Accuracy = 27.609999999999996%, Running Loss = 7.812468433380127
Prediction Accuracy = 27.607999999999997%, Running Loss = 7.762075710296631
Prediction Accuracy = 27.586000000000002%, Running Loss = 7.712172365188598
Prediction Accuracy = 27.619999999999997%, Running Loss = 7.661988210678101
Prediction Accuracy = 27.618000000000002%, Running Loss = 7.61255145072937
Prediction Accuracy = 27.660000000000004%, Running Loss = 7.563089084625244
Prediction Accuracy = 27.698%, Running Loss = 7.514114761352539
