Prediction Accuracy = 21.03%, Running Loss = 59.51552772521973
Prediction Accuracy = 22.87%, Running Loss = 52.959215545654295
Prediction Accuracy = 23.268%, Running Loss = 43.06328582763672
Prediction Accuracy = 23.336%, Running Loss = 29.22761516571045
Prediction Accuracy = 23.342000000000002%, Running Loss = 15.595105457305909
Prediction Accuracy = 23.34%, Running Loss = 10.246124172210694
Prediction Accuracy = 23.266%, Running Loss = 10.022861003875732
Prediction Accuracy = 22.919999999999998%, Running Loss = 9.221121311187744
Prediction Accuracy = 23.044000000000004%, Running Loss = 9.06145544052124
Prediction Accuracy = 21.796%, Running Loss = 8.80632266998291
Prediction Accuracy = 22.327999999999996%, Running Loss = 8.608004951477051
Prediction Accuracy = 22.028000000000002%, Running Loss = 8.410579299926757
Prediction Accuracy = 22.78%, Running Loss = 8.210834407806397
Prediction Accuracy = 23.509999999999998%, Running Loss = 8.009557962417603
Prediction Accuracy = 23.668%, Running Loss = 7.805166006088257
Prediction Accuracy = 23.811999999999998%, Running Loss = 7.600312280654907
Prediction Accuracy = 23.954%, Running Loss = 7.395642375946045
Prediction Accuracy = 24.004%, Running Loss = 7.193741035461426
Prediction Accuracy = 24.163999999999998%, Running Loss = 6.995841073989868
Prediction Accuracy = 24.278%, Running Loss = 6.80855803489685
Prediction Accuracy = 24.352%, Running Loss = 6.63229808807373
Prediction Accuracy = 24.466%, Running Loss = 6.47372841835022
Prediction Accuracy = 24.570000000000004%, Running Loss = 6.3349100112915036
Prediction Accuracy = 24.630000000000003%, Running Loss = 6.2153847217559814
Prediction Accuracy = 24.7%, Running Loss = 6.119115161895752
Prediction Accuracy = 24.82%, Running Loss = 6.042184638977051
Prediction Accuracy = 24.926000000000002%, Running Loss = 5.983631372451782
Prediction Accuracy = 25.026%, Running Loss = 5.938267707824707
Prediction Accuracy = 25.142000000000003%, Running Loss = 5.904795217514038
Prediction Accuracy = 25.195999999999998%, Running Loss = 5.878816080093384
Prediction Accuracy = 25.336000000000002%, Running Loss = 5.857689142227173
Prediction Accuracy = 25.487999999999996%, Running Loss = 5.841135501861572
Prediction Accuracy = 25.514000000000003%, Running Loss = 5.826975536346436
Prediction Accuracy = 25.580000000000005%, Running Loss = 5.814711618423462
Prediction Accuracy = 25.824%, Running Loss = 5.804495620727539
Prediction Accuracy = 25.9%, Running Loss = 5.794770240783691
Prediction Accuracy = 26.118000000000002%, Running Loss = 5.78749098777771
Prediction Accuracy = 26.232%, Running Loss = 5.778615236282349
Prediction Accuracy = 26.466%, Running Loss = 5.771355772018433
Prediction Accuracy = 26.604000000000003%, Running Loss = 5.765036678314209
Prediction Accuracy = 26.754%, Running Loss = 5.758572149276733
Prediction Accuracy = 26.936%, Running Loss = 5.753428363800049
