Prediction Accuracy = 21.008%, Running Loss = 28.97406415939331
Prediction Accuracy = 24.357999999999997%, Running Loss = 10.822023105621337
Prediction Accuracy = 23.3%, Running Loss = 8.534631299972535
Prediction Accuracy = 26.997999999999998%, Running Loss = 6.833894920349121
Prediction Accuracy = 28.351999999999997%, Running Loss = 6.1485450744628904
Prediction Accuracy = 29.790000000000003%, Running Loss = 5.934633588790893
Prediction Accuracy = 32.622%, Running Loss = 5.829161357879639
Prediction Accuracy = 33.412%, Running Loss = 5.766558837890625
Prediction Accuracy = 35.23800000000001%, Running Loss = 5.732174444198608
Prediction Accuracy = 36.004%, Running Loss = 5.705525541305542
Prediction Accuracy = 36.474000000000004%, Running Loss = 5.690319633483886
Prediction Accuracy = 37.989999999999995%, Running Loss = 5.679523229598999
Prediction Accuracy = 37.938%, Running Loss = 5.674311256408691
Prediction Accuracy = 38.672%, Running Loss = 5.6697896957397464
Prediction Accuracy = 39.212%, Running Loss = 5.662486362457275
Prediction Accuracy = 39.522%, Running Loss = 5.6586850643157955
Prediction Accuracy = 40.184%, Running Loss = 5.654597234725952
Prediction Accuracy = 40.53999999999999%, Running Loss = 5.6512494564056395
Prediction Accuracy = 40.944%, Running Loss = 5.649611616134644
Prediction Accuracy = 41.334%, Running Loss = 5.661576223373413
Prediction Accuracy = 41.708000000000006%, Running Loss = 5.654715871810913
Prediction Accuracy = 41.95%, Running Loss = 5.644592666625977
Prediction Accuracy = 42.0%, Running Loss = 5.643299579620361
Prediction Accuracy = 42.138%, Running Loss = 5.642868089675903
Prediction Accuracy = 42.30800000000001%, Running Loss = 5.640965986251831
Prediction Accuracy = 42.432%, Running Loss = 5.642022275924683
Prediction Accuracy = 42.586%, Running Loss = 5.645249652862549
Prediction Accuracy = 42.568%, Running Loss = 5.645433950424194
Prediction Accuracy = 42.60199999999999%, Running Loss = 5.643051195144653
Prediction Accuracy = 42.556000000000004%, Running Loss = 5.6440528392791744
Prediction Accuracy = 42.5%, Running Loss = 5.650424242019653
Prediction Accuracy = 42.641999999999996%, Running Loss = 5.663381433486938
Prediction Accuracy = 42.68%, Running Loss = 5.665512132644653
Prediction Accuracy = 42.654%, Running Loss = 5.654891633987427
Prediction Accuracy = 42.628%, Running Loss = 5.6486725330352785
Prediction Accuracy = 42.574%, Running Loss = 5.652521753311158
Prediction Accuracy = 42.59%, Running Loss = 5.649158382415772
Prediction Accuracy = 42.722%, Running Loss = 5.64624433517456
Prediction Accuracy = 42.69%, Running Loss = 5.643793535232544
Prediction Accuracy = 42.652%, Running Loss = 5.642045545578003
Prediction Accuracy = 42.61%, Running Loss = 5.643267297744751
Prediction Accuracy = 42.684%, Running Loss = 5.646182870864868
Prediction Accuracy = 42.628%, Running Loss = 5.644611024856568
Prediction Accuracy = 42.412000000000006%, Running Loss = 5.648451805114746
Prediction Accuracy = 42.674%, Running Loss = 5.641963386535645
Prediction Accuracy = 42.556%, Running Loss = 5.641211223602295
Prediction Accuracy = 42.571999999999996%, Running Loss = 5.652995491027832
Prediction Accuracy = 42.59%, Running Loss = 5.651828002929688
Prediction Accuracy = 42.638%, Running Loss = 5.651159477233887
Prediction Accuracy = 42.620000000000005%, Running Loss = 5.646718168258667
Prediction Accuracy = 42.802%, Running Loss = 5.64857759475708
Prediction Accuracy = 42.582%, Running Loss = 5.642348527908325
Prediction Accuracy = 42.582%, Running Loss = 5.652409362792969
Prediction Accuracy = 42.599999999999994%, Running Loss = 5.6454198360443115
Prediction Accuracy = 42.681999999999995%, Running Loss = 5.647298192977905
Prediction Accuracy = 42.666000000000004%, Running Loss = 5.669160604476929
Prediction Accuracy = 42.626%, Running Loss = 5.667429494857788
Prediction Accuracy = 42.6%, Running Loss = 5.668551397323609
Prediction Accuracy = 42.652%, Running Loss = 5.65379319190979
Prediction Accuracy = 42.797999999999995%, Running Loss = 5.656929779052734
Prediction Accuracy = 42.598%, Running Loss = 5.65860538482666
Prediction Accuracy = 42.596000000000004%, Running Loss = 5.672481441497803
Prediction Accuracy = 42.662%, Running Loss = 5.648550271987915
Prediction Accuracy = 42.628%, Running Loss = 5.643273973464966
Prediction Accuracy = 42.568%, Running Loss = 5.644591236114502
Prediction Accuracy = 42.42%, Running Loss = 5.652469682693481
Prediction Accuracy = 42.568%, Running Loss = 5.6522914409637455
Prediction Accuracy = 42.648%, Running Loss = 5.651327228546142
Prediction Accuracy = 42.674%, Running Loss = 5.642476320266724
Prediction Accuracy = 42.666000000000004%, Running Loss = 5.646681928634644
Prediction Accuracy = 42.66%, Running Loss = 5.644295692443848
Prediction Accuracy = 42.651999999999994%, Running Loss = 5.659579086303711
Prediction Accuracy = 42.498000000000005%, Running Loss = 5.653838968276977
Prediction Accuracy = 42.68%, Running Loss = 5.657849931716919
Prediction Accuracy = 42.64%, Running Loss = 5.653140830993652
Prediction Accuracy = 42.668000000000006%, Running Loss = 5.658425760269165
Prediction Accuracy = 42.646%, Running Loss = 5.651711320877075
Prediction Accuracy = 42.436%, Running Loss = 5.652967262268066
Prediction Accuracy = 42.608000000000004%, Running Loss = 5.6518384456634525
Prediction Accuracy = 42.67399999999999%, Running Loss = 5.652388954162598
Prediction Accuracy = 42.61%, Running Loss = 5.646934461593628
Prediction Accuracy = 42.71%, Running Loss = 5.647566175460815
Prediction Accuracy = 42.514%, Running Loss = 5.64540433883667
Prediction Accuracy = 42.562%, Running Loss = 5.647070980072021
Prediction Accuracy = 42.74399999999999%, Running Loss = 5.654186534881592
Prediction Accuracy = 42.648%, Running Loss = 5.653116178512573
Prediction Accuracy = 42.72%, Running Loss = 5.6707926273345945
Prediction Accuracy = 42.647999999999996%, Running Loss = 5.64563250541687
Prediction Accuracy = 42.674%, Running Loss = 5.658231401443482
Prediction Accuracy = 42.648%, Running Loss = 5.6703227996826175
Prediction Accuracy = 42.544%, Running Loss = 5.668105506896973
Prediction Accuracy = 42.596%, Running Loss = 5.6508160591125485
Prediction Accuracy = 42.676%, Running Loss = 5.655339050292969
Prediction Accuracy = 42.576%, Running Loss = 5.646639585494995
Prediction Accuracy = 42.654%, Running Loss = 5.664774656295776
Prediction Accuracy = 42.692%, Running Loss = 5.654909610748291
Prediction Accuracy = 42.647999999999996%, Running Loss = 5.6651115894317625
Prediction Accuracy = 42.524%, Running Loss = 5.644120693206787
Prediction Accuracy = 42.525999999999996%, Running Loss = 5.64735779762268
Prediction Accuracy = 42.532000000000004%, Running Loss = 5.643844079971314
Prediction Accuracy = 42.516%, Running Loss = 5.661402654647827
Prediction Accuracy = 42.60600000000001%, Running Loss = 5.674961709976197
Prediction Accuracy = 42.544%, Running Loss = 5.682530260086059
Prediction Accuracy = 42.467999999999996%, Running Loss = 5.668382263183593
Prediction Accuracy = 42.728%, Running Loss = 5.658164978027344
Prediction Accuracy = 42.586%, Running Loss = 5.646444988250733
Prediction Accuracy = 42.690000000000005%, Running Loss = 5.644164562225342
Prediction Accuracy = 42.623999999999995%, Running Loss = 5.6430137157440186
Prediction Accuracy = 42.564%, Running Loss = 5.643937444686889
Prediction Accuracy = 42.628%, Running Loss = 5.649007129669189
Prediction Accuracy = 42.638%, Running Loss = 5.644484281539917
Prediction Accuracy = 42.824%, Running Loss = 5.6438618183135985
Prediction Accuracy = 42.66%, Running Loss = 5.641604232788086
Prediction Accuracy = 42.586000000000006%, Running Loss = 5.644724130630493
Prediction Accuracy = 42.702000000000005%, Running Loss = 5.648462438583374
Prediction Accuracy = 42.548%, Running Loss = 5.64394907951355
Prediction Accuracy = 42.592%, Running Loss = 5.648079442977905
Prediction Accuracy = 42.60600000000001%, Running Loss = 5.645492792129517
Prediction Accuracy = 42.664%, Running Loss = 5.649662113189697
Prediction Accuracy = 42.628%, Running Loss = 5.649538135528564
Prediction Accuracy = 42.641999999999996%, Running Loss = 5.650186967849732
Prediction Accuracy = 42.612%, Running Loss = 5.646694278717041
Prediction Accuracy = 42.544%, Running Loss = 5.645875263214111
Prediction Accuracy = 42.742000000000004%, Running Loss = 5.654772138595581
Prediction Accuracy = 42.629999999999995%, Running Loss = 5.659961080551147
Prediction Accuracy = 42.644000000000005%, Running Loss = 5.686860847473144
Prediction Accuracy = 42.574%, Running Loss = 5.665990591049194
Prediction Accuracy = 42.59000000000001%, Running Loss = 5.6444549560546875
Prediction Accuracy = 42.568%, Running Loss = 5.645747947692871
Prediction Accuracy = 42.476%, Running Loss = 5.651176309585571
Prediction Accuracy = 42.55200000000001%, Running Loss = 5.652550935745239
Prediction Accuracy = 42.604%, Running Loss = 5.647342872619629
Prediction Accuracy = 42.578%, Running Loss = 5.65369291305542
Prediction Accuracy = 42.620000000000005%, Running Loss = 5.659026765823365
Prediction Accuracy = 42.384%, Running Loss = 5.676422357559204
Prediction Accuracy = 42.558%, Running Loss = 5.648970270156861
Prediction Accuracy = 42.589999999999996%, Running Loss = 5.658299922943115
Prediction Accuracy = 42.547999999999995%, Running Loss = 5.657258605957031
Prediction Accuracy = 42.61%, Running Loss = 5.6595056533813475
Prediction Accuracy = 42.556%, Running Loss = 5.646878099441528
Prediction Accuracy = 42.58%, Running Loss = 5.6491130828857425
Prediction Accuracy = 42.397999999999996%, Running Loss = 5.651338815689087
Prediction Accuracy = 42.518%, Running Loss = 5.645428800582886
Prediction Accuracy = 42.583999999999996%, Running Loss = 5.645497131347656
Prediction Accuracy = 42.50600000000001%, Running Loss = 5.647189044952393
Prediction Accuracy = 42.538%, Running Loss = 5.651023912429809
Prediction Accuracy = 42.712%, Running Loss = 5.64200177192688
Prediction Accuracy = 42.477999999999994%, Running Loss = 5.665571880340576
Prediction Accuracy = 42.565999999999995%, Running Loss = 5.6491766452789305
Prediction Accuracy = 42.548%, Running Loss = 5.648070621490478
Prediction Accuracy = 42.458%, Running Loss = 5.656819820404053
Prediction Accuracy = 42.356%, Running Loss = 5.645972490310669
Prediction Accuracy = 42.588%, Running Loss = 5.649626350402832
Prediction Accuracy = 42.768%, Running Loss = 5.649406385421753
Prediction Accuracy = 42.566%, Running Loss = 5.6536109924316404
Prediction Accuracy = 42.565999999999995%, Running Loss = 5.648271942138672
Prediction Accuracy = 42.686%, Running Loss = 5.652973651885986
Prediction Accuracy = 42.592%, Running Loss = 5.644705963134766
Prediction Accuracy = 42.606%, Running Loss = 5.654944658279419
Prediction Accuracy = 42.632000000000005%, Running Loss = 5.6541179656982425
Prediction Accuracy = 42.664%, Running Loss = 5.655540561676025
Prediction Accuracy = 42.66799999999999%, Running Loss = 5.645898103713989
Prediction Accuracy = 42.50599999999999%, Running Loss = 5.656557178497314
Prediction Accuracy = 42.519999999999996%, Running Loss = 5.644551610946655
Prediction Accuracy = 42.592%, Running Loss = 5.648211669921875
Prediction Accuracy = 42.476%, Running Loss = 5.64863224029541
Prediction Accuracy = 42.46%, Running Loss = 5.650018310546875
Prediction Accuracy = 42.782000000000004%, Running Loss = 5.642692947387696
Prediction Accuracy = 42.696%, Running Loss = 5.650257921218872
Prediction Accuracy = 42.634%, Running Loss = 5.6640454769134525
Prediction Accuracy = 42.652%, Running Loss = 5.67216682434082
Prediction Accuracy = 42.476%, Running Loss = 5.667214488983154
Prediction Accuracy = 42.70200000000001%, Running Loss = 5.68006649017334
Prediction Accuracy = 42.538%, Running Loss = 5.66680326461792
Prediction Accuracy = 42.632000000000005%, Running Loss = 5.653858423233032
Prediction Accuracy = 42.548%, Running Loss = 5.653172349929809
Prediction Accuracy = 42.388000000000005%, Running Loss = 5.643735313415528
Prediction Accuracy = 42.480000000000004%, Running Loss = 5.644971656799316
Prediction Accuracy = 42.699999999999996%, Running Loss = 5.646327209472656
Prediction Accuracy = 42.507999999999996%, Running Loss = 5.650995540618896
Prediction Accuracy = 42.508%, Running Loss = 5.64900918006897
Prediction Accuracy = 42.412%, Running Loss = 5.655694913864136
Prediction Accuracy = 42.386%, Running Loss = 5.661150598526001
Prediction Accuracy = 42.37400000000001%, Running Loss = 5.645723819732666
Prediction Accuracy = 42.48800000000001%, Running Loss = 5.6452288150787355
Prediction Accuracy = 42.422%, Running Loss = 5.647089910507202
Prediction Accuracy = 42.474000000000004%, Running Loss = 5.655466794967651
Prediction Accuracy = 42.459999999999994%, Running Loss = 5.65511679649353
Prediction Accuracy = 42.678000000000004%, Running Loss = 5.6646223068237305
Prediction Accuracy = 42.696%, Running Loss = 5.643235683441162
Prediction Accuracy = 42.45399999999999%, Running Loss = 5.644722509384155
Prediction Accuracy = 42.498000000000005%, Running Loss = 5.6532172679901125
Prediction Accuracy = 42.366%, Running Loss = 5.67082405090332
Prediction Accuracy = 42.22%, Running Loss = 5.651091861724853
