Prediction Accuracy = 21.416%, Running Loss = 27.41240816116333
Prediction Accuracy = 22.906%, Running Loss = 10.751391696929932
Prediction Accuracy = 22.922000000000004%, Running Loss = 8.364838886260987
Prediction Accuracy = 23.13%, Running Loss = 6.623837232589722
Prediction Accuracy = 25.499999999999996%, Running Loss = 6.059754753112793
Prediction Accuracy = 27.571999999999996%, Running Loss = 5.8846962451934814
Prediction Accuracy = 32.548%, Running Loss = 5.789820909500122
Prediction Accuracy = 33.772%, Running Loss = 5.738710212707519
Prediction Accuracy = 35.773999999999994%, Running Loss = 5.713883256912231
Prediction Accuracy = 36.294000000000004%, Running Loss = 5.701830911636352
Prediction Accuracy = 37.188%, Running Loss = 5.692808723449707
Prediction Accuracy = 37.903999999999996%, Running Loss = 5.684766244888306
Prediction Accuracy = 38.647999999999996%, Running Loss = 5.673843097686768
Prediction Accuracy = 39.194%, Running Loss = 5.667809247970581
Prediction Accuracy = 39.474000000000004%, Running Loss = 5.664988470077515
Prediction Accuracy = 39.858%, Running Loss = 5.661635780334473
Prediction Accuracy = 40.25599999999999%, Running Loss = 5.65766978263855
Prediction Accuracy = 40.538%, Running Loss = 5.65499963760376
Prediction Accuracy = 40.702%, Running Loss = 5.65433144569397
Prediction Accuracy = 41.034%, Running Loss = 5.653176259994507
Prediction Accuracy = 41.349999999999994%, Running Loss = 5.650348138809204
Prediction Accuracy = 41.576%, Running Loss = 5.647891187667847
Prediction Accuracy = 41.912%, Running Loss = 5.648370838165283
Prediction Accuracy = 41.94%, Running Loss = 5.649761962890625
Prediction Accuracy = 42.116%, Running Loss = 5.652767658233643
Prediction Accuracy = 42.20399999999999%, Running Loss = 5.66331992149353
Prediction Accuracy = 42.158%, Running Loss = 5.672282648086548
Prediction Accuracy = 42.373999999999995%, Running Loss = 5.653539705276489
Prediction Accuracy = 42.416000000000004%, Running Loss = 5.6503949642181395
Prediction Accuracy = 42.552%, Running Loss = 5.644870281219482
Prediction Accuracy = 42.56%, Running Loss = 5.643612480163574
Prediction Accuracy = 42.61%, Running Loss = 5.643683528900146
Prediction Accuracy = 42.58200000000001%, Running Loss = 5.642077302932739
Prediction Accuracy = 42.55%, Running Loss = 5.645152044296265
Prediction Accuracy = 42.717999999999996%, Running Loss = 5.645038509368897
Prediction Accuracy = 42.696%, Running Loss = 5.647288751602173
Prediction Accuracy = 42.558%, Running Loss = 5.64302020072937
Prediction Accuracy = 42.624%, Running Loss = 5.644597864151001
Prediction Accuracy = 42.674%, Running Loss = 5.644841003417969
Prediction Accuracy = 42.718%, Running Loss = 5.646397542953491
Prediction Accuracy = 42.698%, Running Loss = 5.662797546386718
Prediction Accuracy = 42.596%, Running Loss = 5.662109804153443
Prediction Accuracy = 42.64%, Running Loss = 5.649252223968506
Prediction Accuracy = 42.717999999999996%, Running Loss = 5.643612718582153
Prediction Accuracy = 42.733999999999995%, Running Loss = 5.652356576919556
Prediction Accuracy = 42.602%, Running Loss = 5.645654010772705
Prediction Accuracy = 42.7%, Running Loss = 5.648421955108643
Prediction Accuracy = 42.67%, Running Loss = 5.652207851409912
Prediction Accuracy = 42.642%, Running Loss = 5.653070497512817
Prediction Accuracy = 42.648%, Running Loss = 5.646534824371338
Prediction Accuracy = 42.636%, Running Loss = 5.641918182373047
Prediction Accuracy = 42.568%, Running Loss = 5.648966264724732
Prediction Accuracy = 42.562%, Running Loss = 5.647513198852539
Prediction Accuracy = 42.68599999999999%, Running Loss = 5.64489049911499
Prediction Accuracy = 42.692%, Running Loss = 5.646987867355347
Prediction Accuracy = 42.687999999999995%, Running Loss = 5.642703676223755
Prediction Accuracy = 42.57600000000001%, Running Loss = 5.64513087272644
Prediction Accuracy = 42.45200000000001%, Running Loss = 5.644449377059937
Prediction Accuracy = 42.708000000000006%, Running Loss = 5.651886796951294
Prediction Accuracy = 42.702000000000005%, Running Loss = 5.64411473274231
Prediction Accuracy = 42.501999999999995%, Running Loss = 5.663715076446533
Prediction Accuracy = 42.67%, Running Loss = 5.66588339805603
Prediction Accuracy = 42.728%, Running Loss = 5.6579122066497805
Prediction Accuracy = 42.668%, Running Loss = 5.648003053665161
Prediction Accuracy = 42.558%, Running Loss = 5.643268060684204
Prediction Accuracy = 42.632000000000005%, Running Loss = 5.645818281173706
Prediction Accuracy = 42.618%, Running Loss = 5.6421013355255125
Prediction Accuracy = 42.668%, Running Loss = 5.642145204544067
Prediction Accuracy = 42.644%, Running Loss = 5.653380966186523
Prediction Accuracy = 42.742%, Running Loss = 5.655668878555298
Prediction Accuracy = 42.467999999999996%, Running Loss = 5.641917037963867
Prediction Accuracy = 42.686%, Running Loss = 5.645673656463623
Prediction Accuracy = 42.45%, Running Loss = 5.647680234909058
Prediction Accuracy = 42.68599999999999%, Running Loss = 5.651526975631714
Prediction Accuracy = 42.696%, Running Loss = 5.643560075759888
Prediction Accuracy = 42.715999999999994%, Running Loss = 5.643059968948364
Prediction Accuracy = 42.69%, Running Loss = 5.645454740524292
Prediction Accuracy = 42.528000000000006%, Running Loss = 5.64763708114624
Prediction Accuracy = 42.612%, Running Loss = 5.643159818649292
Prediction Accuracy = 42.70199999999999%, Running Loss = 5.643534374237061
Prediction Accuracy = 42.669999999999995%, Running Loss = 5.6460527896881105
Prediction Accuracy = 42.556%, Running Loss = 5.647468900680542
Prediction Accuracy = 42.477999999999994%, Running Loss = 5.644675207138062
Prediction Accuracy = 42.638%, Running Loss = 5.649902868270874
Prediction Accuracy = 42.727999999999994%, Running Loss = 5.644681358337403
Prediction Accuracy = 42.64%, Running Loss = 5.649433946609497
Prediction Accuracy = 42.68%, Running Loss = 5.652853679656983
Prediction Accuracy = 42.646%, Running Loss = 5.646873807907104
Prediction Accuracy = 42.586%, Running Loss = 5.647205829620361
Prediction Accuracy = 42.682%, Running Loss = 5.648148107528686
Prediction Accuracy = 42.734%, Running Loss = 5.645817661285401
Prediction Accuracy = 42.525999999999996%, Running Loss = 5.646362257003784
Prediction Accuracy = 42.70399999999999%, Running Loss = 5.644575548171997
Prediction Accuracy = 42.586%, Running Loss = 5.648317432403564
Prediction Accuracy = 42.446000000000005%, Running Loss = 5.643892240524292
Prediction Accuracy = 42.644%, Running Loss = 5.644363927841186
Prediction Accuracy = 42.712%, Running Loss = 5.642894744873047
Prediction Accuracy = 42.536%, Running Loss = 5.64318962097168
Prediction Accuracy = 42.502%, Running Loss = 5.645219802856445
Prediction Accuracy = 42.638%, Running Loss = 5.646717262268067
Prediction Accuracy = 42.49%, Running Loss = 5.643503713607788
Prediction Accuracy = 42.816%, Running Loss = 5.662364339828491
Prediction Accuracy = 42.70799999999999%, Running Loss = 5.650812482833862
Prediction Accuracy = 42.482%, Running Loss = 5.652864646911621
Prediction Accuracy = 42.564%, Running Loss = 5.6597723960876465
