Prediction Accuracy = 23.768%, Running Loss = 12.34308274269104
Prediction Accuracy = 34.998%, Running Loss = 5.772459106445313
Prediction Accuracy = 38.220000000000006%, Running Loss = 5.6774742221832275
Prediction Accuracy = 40.31400000000001%, Running Loss = 5.707101430892944
Prediction Accuracy = 41.68599999999999%, Running Loss = 5.65895712852478
Prediction Accuracy = 42.215999999999994%, Running Loss = 5.686816339492798
Prediction Accuracy = 42.474000000000004%, Running Loss = 5.697367639541626
Prediction Accuracy = 42.424%, Running Loss = 5.667447690963745
Prediction Accuracy = 42.19999999999999%, Running Loss = 5.687544755935669
Prediction Accuracy = 42.22199999999999%, Running Loss = 5.661314897537231
Prediction Accuracy = 42.48799999999999%, Running Loss = 5.678590526580811
Prediction Accuracy = 42.14800000000001%, Running Loss = 5.663928661346436
Prediction Accuracy = 42.336000000000006%, Running Loss = 5.657918272018432
Prediction Accuracy = 42.2%, Running Loss = 5.695998249053955
Prediction Accuracy = 42.23799999999999%, Running Loss = 5.692649335861206
Prediction Accuracy = 42.187999999999995%, Running Loss = 5.659308290481567
Prediction Accuracy = 42.318000000000005%, Running Loss = 5.667667751312256
Prediction Accuracy = 42.211999999999996%, Running Loss = 5.681168050765991
Prediction Accuracy = 42.078%, Running Loss = 5.699884757995606
Prediction Accuracy = 41.924%, Running Loss = 5.703723516464233
Prediction Accuracy = 42.292%, Running Loss = 5.704740877151489
Prediction Accuracy = 42.315999999999995%, Running Loss = 5.678533430099487
Prediction Accuracy = 41.998000000000005%, Running Loss = 5.65776554107666
Prediction Accuracy = 42.18%, Running Loss = 5.668021717071533
Prediction Accuracy = 41.943999999999996%, Running Loss = 5.673746662139893
Prediction Accuracy = 42.022%, Running Loss = 5.671998796463012
Prediction Accuracy = 41.641999999999996%, Running Loss = 5.702659940719604
Prediction Accuracy = 41.864%, Running Loss = 5.725073461532593
Prediction Accuracy = 42.364000000000004%, Running Loss = 5.709562187194824
Prediction Accuracy = 42.011999999999986%, Running Loss = 5.663786344528198
Prediction Accuracy = 42.044000000000004%, Running Loss = 5.69794267654419
Prediction Accuracy = 41.85%, Running Loss = 5.683079080581665
Prediction Accuracy = 41.55799999999999%, Running Loss = 5.667942533493042
Prediction Accuracy = 41.56%, Running Loss = 5.683602771759033
Prediction Accuracy = 42.426%, Running Loss = 5.69370943069458
Prediction Accuracy = 42.144%, Running Loss = 5.674441442489624
Prediction Accuracy = 41.45%, Running Loss = 5.688035354614258
Prediction Accuracy = 42.263999999999996%, Running Loss = 5.683986301422119
Prediction Accuracy = 41.668%, Running Loss = 5.742448921203613
Prediction Accuracy = 42.014%, Running Loss = 5.677402400970459
Prediction Accuracy = 41.77%, Running Loss = 5.66966383934021
Prediction Accuracy = 41.913999999999994%, Running Loss = 5.706457796096802
Prediction Accuracy = 41.974%, Running Loss = 5.667625055313111
Prediction Accuracy = 42.025999999999996%, Running Loss = 5.670700426101685
Prediction Accuracy = 42.2%, Running Loss = 5.683839797973633
Prediction Accuracy = 42.181999999999995%, Running Loss = 5.674339036941529
Prediction Accuracy = 41.754%, Running Loss = 5.679946594238281
Prediction Accuracy = 41.938%, Running Loss = 5.687072057723999
Prediction Accuracy = 41.926%, Running Loss = 5.692750101089477
Prediction Accuracy = 41.754%, Running Loss = 5.665573492050171
Prediction Accuracy = 41.321999999999996%, Running Loss = 5.712956018447876
Prediction Accuracy = 41.434%, Running Loss = 5.676637287139893
Prediction Accuracy = 41.926%, Running Loss = 5.679830493927002
Prediction Accuracy = 42.126000000000005%, Running Loss = 5.664719753265381
Prediction Accuracy = 41.886%, Running Loss = 5.673846683502197
Prediction Accuracy = 41.55%, Running Loss = 5.684284429550171
Prediction Accuracy = 40.92%, Running Loss = 5.7195023345947265
